Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
0,AK,4,2022,616,408,155,28S,0.66,Apr-22,14.76666667,440
1,AL,4,2022,2357,1447,712,58S,0.61,Apr-22,12.98333333,4609
2,AR,4,2022,1180,933,209,24S,0.79,Apr-22,13.2,2814
3,AZ,4,2022,3010,2707,248,17S,0.9,Apr-22,9.283333333,5552
4,CA,4,2022,22533,19306,3139,42S,0.86,Apr-22,12.28333333,23088
5,CO,4,2022,3976,2105,1031,35S,0.53,Apr-22,13.65,3606
6,CT,4,2022,2251,1958,252,53S,0.87,Apr-22,9.65,2671
7,DC,4,2022,513,456,49,18S,0.89,Apr-22,8.083333333,373
8,DE,4,2022,379,260,82,25S,0.69,Apr-22,8.8,887
9,FL,4,2022,8190,4943,1867,31S,0.6,Apr-22,11.83333333,18180
10,GA,4,2022,4391,2982,1072,26S,0.68,Apr-22,14.53333333,7679
11,HI,4,2022,937,677,166,34S,0.72,Apr-22,7.716666667,1025
12,IA,4,2022,1399,982,353,49S,0.7,Apr-22,10.78333333,2574
13,ID,4,2022,1031,872,130,32S,0.85,Apr-22,16.06666667,1297
14,IL,4,2022,7046,1331,1913,28S,0.19,Apr-22,15.25,9150
15,IN,4,2022,3158,2428,326,17S,0.77,Apr-22,14.68333333,5582
16,KS,4,2022,1448,1006,203,24S,0.69,Apr-22,17.31666667,2286
17,KY,4,2022,1926,1353,373,28S,0.7,Apr-22,13.23333333,4399
18,LA,4,2022,2244,1481,477,27S,0.66,Apr-22,13.85,3937
19,MA,4,2022,4425,2780,1362,57S,0.63,Apr-22,8.733333333,4744
20,MD,4,2022,2979,2549,427,30S,0.86,Apr-22,12.16666667,4259
21,ME,4,2022,490,315,175,40S,0.64,Apr-22,10.71666667,1342
22,MI,4,2022,5195,2316,1505,47S,0.45,Apr-22,11.91666667,8441
23,MN,4,2022,2643,2228,387,53S,0.84,Apr-22,14.2,3981
24,MO,4,2022,2792,2320,430,37S,0.83,Apr-22,14.6,5372
25,MS,4,2022,920,807,110,22S,0.88,Apr-22,8.866666667,2809
26,MT,4,2022,561,539,21,13S,0.96,Apr-22,12.76666667,853
27,NC,4,2022,4484,2932,532,11S,0.65,Apr-22,8.15,8493
28,ND,4,2022,341,308,23,16S,0.9,Apr-22,10.86666667,489
29,NE,4,2022,1013,830,151,32S,0.82,Apr-22,12.75,1404
30,NH,4,2022,586,458,73,19S,0.78,Apr-22,11.41666667,1108
31,NJ,4,2022,3949,3045,701,39S,0.77,Apr-22,14.16666667,5958
32,NM,4,2022,1473,1133,309,52S,0.77,Apr-22,15.81666667,1747
33,NV,4,2022,1763,1292,324,47S,0.73,Apr-22,16.53333333,2421
34,NY,4,2022,11904,8031,2100,35S,0.67,Apr-22,15.86666667,13036
35,OH,4,2022,5356,3696,759,21S,0.69,Apr-22,12.08333333,10207
36,OK,4,2022,1649,1138,374,43S,0.69,Apr-22,13.51666667,3494
37,OR,4,2022,3285,2633,469,37S,0.8,Apr-22,18.58333333,3482
38,PA,4,2022,4586,3914,601,34S,0.85,Apr-22,12.91666667,11106
39,RI,4,2022,308,305,2,7S,0.99,Apr-22,10.48333333,799
40,SC,4,2022,2342,1775,445,30S,0.76,Apr-22,14.8,4411
41,SD,4,2022,288,247,36,25S,0.86,Apr-22,19,702
42,TN,4,2022,2943,2454,475,25S,0.83,Apr-22,9.65,6369
43,TX,4,2022,12266,5486,2982,26S,0.45,Apr-22,13.38333333,17934
44,UT,4,2022,2105,1797,206,21S,0.85,Apr-22,16.01666667,1717
45,VA,4,2022,3966,3320,635,46S,0.84,Apr-22,12.38333333,6181
46,VT,4,2022,324,266,45,18S,0.82,Apr-22,16.43333333,532
47,WA,4,2022,4339,2870,1081,33S,0.66,Apr-22,11.91666667,5343
48,WI,4,2022,4590,3801,696,29S,0.83,Apr-22,16.43333333,4593
49,WV,4,2022,807,729,76,21S,0.9,Apr-22,17.08333333,2119
50,WY,4,2022,241,180,18,14S,0.75,Apr-22,16.6,488
51,AK,4,2023,1172,779,176,19S,0.66,Apr-23,17.56666667,456
52,AL,4,2023,2370,1266,476,19S,0.53,Apr-23,11.61666667,4732
53,AR,4,2023,1527,1070,226,31S,0.7,Apr-23,9.366666667,2887
54,AZ,4,2023,5740,5032,567,19S,0.88,Apr-23,11.55,5943
55,CA,4,2023,27936,25166,2664,32S,0.9,Apr-23,12.46666667,24277
56,CO,4,2023,5211,4022,522,22S,0.77,Apr-23,15.23333333,3818
57,CT,4,2023,3664,3427,191,13S,0.94,Apr-23,7.733333333,2601
58,DC,4,2023,796,506,163,46S,0.64,Apr-23,12.13333333,370
59,DE,4,2023,383,280,51,20S,0.73,Apr-23,7.633333333,908
60,FL,4,2023,10737,7857,2049,42S,0.73,Apr-23,14.5,18551
61,GA,4,2023,5825,4982,626,21S,0.86,Apr-23,11.83333333,7801
62,HI,4,2023,1112,971,103,11S,0.87,Apr-23,9.066666667,1029
63,IA,4,2023,1872,1633,221,30S,0.87,Apr-23,11.95,2611
64,ID,4,2023,1294,995,234,26S,0.77,Apr-23,13.3,1379
65,IL,4,2023,11182,9746,948,30S,0.87,Apr-23,20.55,9318
66,IN,4,2023,3578,3411,156,14S,0.95,Apr-23,15.76666667,5785
67,KS,4,2023,1842,1688,134,22S,0.92,Apr-23,14.21666667,2487
68,KY,4,2023,2281,1807,296,26S,0.79,Apr-23,16.31666667,4269
69,LA,4,2023,2355,2041,290,31S,0.87,Apr-23,16.8,3936
70,MA,4,2023,5043,4455,549,32S,0.88,Apr-23,10.48333333,4861
71,MD,4,2023,4260,3829,418,30S,0.9,Apr-23,13.13333333,4170
72,ME,4,2023,620,518,74,30S,0.84,Apr-23,10.53333333,1370
73,MI,4,2023,6228,5382,633,26S,0.86,Apr-23,11.41666667,8536
74,MN,4,2023,3871,3293,431,36S,0.85,Apr-23,12.91666667,4047
75,MO,4,2023,4607,4296,291,17S,0.93,Apr-23,12.3,5382
76,MS,4,2023,1168,1137,19,6S,0.97,Apr-23,8.083333333,2683
77,MT,4,2023,762,723,38,11S,0.95,Apr-23,12.76666667,951
78,NC,4,2023,5178,4314,578,19S,0.83,Apr-23,10,8631
79,ND,4,2023,440,398,19,9S,0.9,Apr-23,11.6,568
80,NE,4,2023,1709,1532,117,20S,0.9,Apr-23,15.06666667,1594
81,NH,4,2023,1134,1011,117,28S,0.89,Apr-23,15.66666667,1126
82,NJ,4,2023,4716,3892,571,27S,0.83,Apr-23,13.45,6106
83,NM,4,2023,1948,1525,195,20S,0.78,Apr-23,17.13333333,1921
84,NV,4,2023,2866,2051,418,25S,0.72,Apr-23,14.86666667,2476
85,NY,4,2023,14693,12480,1468,27S,0.85,Apr-23,15.41666667,12980
86,OH,4,2023,7041,6199,741,27S,0.88,Apr-23,13.55,10583
87,OK,4,2023,3374,3119,215,18S,0.92,Apr-23,11.18333333,3539
88,OR,4,2023,4097,3662,308,27S,0.89,Apr-23,16.91666667,3531
89,PA,4,2023,7090,5568,1184,43S,0.79,Apr-23,12.3,11227
90,RI,4,2023,615,606,8,1S,0.99,Apr-23,15.86666667,904
91,SC,4,2023,3087,1922,380,20S,0.62,Apr-23,15.36666667,4561
92,SD,4,2023,655,564,57,13S,0.86,Apr-23,16.18333333,733
93,TN,4,2023,3442,3007,418,34S,0.87,Apr-23,11.55,6462
94,TX,4,2023,14074,10503,1679,25S,0.75,Apr-23,14.43333333,18413
95,UT,4,2023,2864,2621,161,14S,0.92,Apr-23,14.96666667,1736
96,VA,4,2023,5671,5239,415,20S,0.92,Apr-23,12.61666667,6262
97,VT,4,2023,710,530,69,16S,0.75,Apr-23,16.16666667,582
98,WA,4,2023,6190,5390,463,22S,0.87,Apr-23,11.73333333,5564
99,WI,4,2023,6779,5182,860,32S,0.76,Apr-23,14.18333333,4671
100,WV,4,2023,1031,948,48,17S,0.92,Apr-23,16.98333333,2016
101,WY,4,2023,410,341,50,18S,0.83,Apr-23,14.56666667,490
102,AK,4,2024,1339,920,230,27S,0.69,Apr-24,15.33333333,
103,AL,4,2024,2923,2152,492,31S,0.74,Apr-24,9.883333333,
104,AR,4,2024,2312,1723,262,30S,0.75,Apr-24,13.93333333,
105,AZ,4,2024,6626,5891,551,19S,0.89,Apr-24,12.75,
106,CA,4,2024,34986,29743,4219,32S,0.85,Apr-24,12.21666667,
107,CO,4,2024,9880,7375,833,23S,0.75,Apr-24,14.68333333,
108,CT,4,2024,4396,3956,255,13S,0.9,Apr-24,11.9,
109,DC,4,2024,1020,867,92,20S,0.85,Apr-24,9.066666667,
110,DE,4,2024,523,409,62,19S,0.78,Apr-24,6.733333333,
111,FL,4,2024,14670,11794,1915,31S,0.8,Apr-24,14.35,
112,GA,4,2024,8535,6981,962,23S,0.82,Apr-24,12.35,
113,HI,4,2024,1808,1326,295,25S,0.73,Apr-24,11.23333333,
114,IA,4,2024,2389,2068,290,32S,0.87,Apr-24,11.31666667,
115,ID,4,2024,1372,1207,105,20S,0.88,Apr-24,18.13333333,
116,IL,4,2024,14026,10341,1516,30S,0.74,Apr-24,18.13333333,
117,IN,4,2024,7950,7467,412,17S,0.94,Apr-24,15.76666667,
118,KS,4,2024,2598,2281,252,21S,0.88,Apr-24,13.01666667,
119,KY,4,2024,3163,2675,416,25S,0.85,Apr-24,13.66666667,
120,LA,4,2024,3573,3179,350,19S,0.89,Apr-24,12.98333333,
121,MA,4,2024,6251,5411,667,29S,0.87,Apr-24,9.833333333,
122,MD,4,2024,7161,6470,593,22S,0.9,Apr-24,13.58333333,
123,ME,4,2024,1747,1610,98,18S,0.92,Apr-24,7.25,
124,MI,4,2024,9851,8892,808,17S,0.9,Apr-24,10.66666667,
125,MN,4,2024,5031,4499,318,18S,0.89,Apr-24,13.15,
126,MO,4,2024,6761,6340,364,14S,0.94,Apr-24,12.7,
127,MS,4,2024,1448,1419,23,1S,0.98,Apr-24,6.633333333,
128,MT,4,2024,1022,980,38,6S,0.96,Apr-24,12.63333333,
129,NC,4,2024,7699,6263,993,23S,0.81,Apr-24,11.1,
130,ND,4,2024,727,657,38,9S,0.9,Apr-24,10.46666667,
131,NE,4,2024,2232,1939,151,20S,0.87,Apr-24,15.61666667,
132,NH,4,2024,1120,925,113,29S,0.83,Apr-24,14.98333333,
133,NJ,4,2024,7543,5617,835,28S,0.74,Apr-24,13.71666667,
134,NM,4,2024,2869,2544,234,18S,0.89,Apr-24,13.76666667,
135,NV,4,2024,3648,2474,509,21S,0.68,Apr-24,15.71666667,
136,NY,4,2024,32953,28868,3404,45S,0.88,Apr-24,14.61666667,
137,OH,4,2024,9589,8636,893,23S,0.9,Apr-24,13.46666667,
138,OK,4,2024,5317,4691,465,23S,0.88,Apr-24,11.21666667,
139,OR,4,2024,5199,4182,515,26S,0.8,Apr-24,16.88333333,
140,PA,4,2024,9364,8374,806,21S,0.89,Apr-24,11.45,
141,RI,4,2024,933,915,5,1S,0.98,Apr-24,15.08333333,
142,SC,4,2024,3729,3028,373,32S,0.81,Apr-24,14.76666667,
143,SD,4,2024,893,769,52,13S,0.86,Apr-24,12.45,
144,TN,4,2024,4418,3915,476,26S,0.89,Apr-24,12.15,
145,TX,4,2024,18488,15574,2440,33S,0.84,Apr-24,14.48333333,
146,UT,4,2024,3296,3100,144,13S,0.94,Apr-24,15.96666667,
147,VA,4,2024,10266,8892,1060,33S,0.87,Apr-24,13.75,
148,VT,4,2024,896,718,78,15S,0.8,Apr-24,14.61666667,
149,WA,4,2024,8608,7703,667,22S,0.89,Apr-24,13.18333333,
150,WI,4,2024,6374,4887,564,23S,0.77,Apr-24,14.35,
151,WV,4,2024,1969,1770,95,15S,0.9,Apr-24,14.41666667,
152,WY,4,2024,555,502,20,14S,0.9,Apr-24,14.71666667,
153,AK,8,2021,639,387,180,39S,0.61,Aug-21,14.78333333,589
154,AL,8,2021,2264,1366,701,50S,0.6,Aug-21,11.43333333,6853
155,AR,8,2021,1245,949,235,32S,0.76,Aug-21,13.41666667,3936
156,AZ,8,2021,3396,3117,224,16S,0.92,Aug-21,9.733333333,6718
157,CA,8,2021,22726,19938,2699,36S,0.88,Aug-21,13.33333333,27019
158,CO,8,2021,4244,2620,937,55S,0.62,Aug-21,15.01666667,3846
159,CT,8,2021,1561,881,438,58S,0.56,Aug-21,13.1,2752
160,DC,8,2021,533,496,29,17S,0.93,Aug-21,8.033333333,459
161,DE,8,2021,393,289,67,25S,0.74,Aug-21,10.71666667,919
162,FL,8,2021,8243,6328,1521,44S,0.77,Aug-21,11.85,30105
163,GA,8,2021,4524,3374,847,27S,0.75,Aug-21,15.58333333,10958
164,HI,8,2021,744,647,59,15S,0.87,Aug-21,11.18333333,1228
165,IA,8,2021,1378,906,366,55S,0.66,Aug-21,12.41666667,2760
166,ID,8,2021,1034,868,72,16S,0.84,Aug-21,15.75,1522
167,IL,8,2021,7230,1327,1688,27S,0.18,Aug-21,13.5,10184
168,IN,8,2021,3324,2084,856,19S,0.63,Aug-21,14.88333333,6418
169,KS,8,2021,1469,1037,192,18S,0.71,Aug-21,15.03333333,2758
170,KY,8,2021,1981,1510,320,23S,0.76,Aug-21,15.13333333,5266
171,LA,8,2021,1967,997,483,40S,0.51,Aug-21,14.51666667,6152
172,MA,8,2021,3746,2761,774,1M 2S,0.74,Aug-21,9.85,4932
173,MD,8,2021,3052,2534,511,45S,0.83,Aug-21,12.73333333,4448
174,ME,8,2021,419,339,79,40S,0.81,Aug-21,10.33333333,1326
175,MI,8,2021,4996,3195,1071,41S,0.64,Aug-21,11.6,8916
176,MN,8,2021,2911,1341,773,41S,0.46,Aug-21,16.91666667,4078
177,MO,8,2021,2952,2291,560,51S,0.78,Aug-21,15.13333333,7053
178,MS,8,2021,1059,940,97,18S,0.89,Aug-21,7.866666667,4295
179,MT,8,2021,607,533,67,31S,0.88,Aug-21,11.35,1118
180,NC,8,2021,4828,3562,584,21S,0.74,Aug-21,8.383333333,10430
181,ND,8,2021,367,331,17,30S,0.9,Aug-21,13.03333333,531
182,NE,8,2021,956,728,178,43S,0.76,Aug-21,11.86666667,1582
183,NH,8,2021,591,443,64,20S,0.75,Aug-21,12.13333333,1116
184,NJ,8,2021,3762,2866,754,40S,0.76,Aug-21,13.3,6465
185,NM,8,2021,1383,1085,263,48S,0.78,Aug-21,16.48333333,2012
186,NV,8,2021,1624,1169,357,45S,0.72,Aug-21,12.55,3020
187,NY,8,2021,11565,7629,1971,32S,0.66,Aug-21,15.58333333,13984
188,OH,8,2021,5042,3139,628,19S,0.62,Aug-21,11.41666667,11402
189,OK,8,2021,1683,1218,371,44S,0.72,Aug-21,15.68333333,4873
190,OR,8,2021,3212,2281,639,39S,0.71,Aug-21,16.85,4041
191,PA,8,2021,4930,4007,768,32S,0.81,Aug-21,12.28333333,11683
192,RI,8,2021,371,360,11,7S,0.97,Aug-21,10.5,902
193,SC,8,2021,2316,1640,327,30S,0.71,Aug-21,14.45,5911
194,SD,8,2021,293,257,32,27S,0.88,Aug-21,16.45,723
195,TN,8,2021,2648,2026,487,28S,0.77,Aug-21,9.25,8230
196,TX,8,2021,13751,5580,2547,22S,0.41,Aug-21,12.1,26276
